172.27.21.19    bof-gestion1
10.20.9.58      pool-l1
10.20.9.59      pool-l2
10.20.9.15      pool-l3
10.20.9.24      pool-l4
172.27.18.136   mel-portal1
10.20.9.5       pool-z1
10.20.9.6       pool-z2
10.20.9.7       pool-z3
10.20.9.8       pool-z4
10.20.9.9       pool-z5
172.27.21.18    bof-backup1
172.27.21.20    bof-nfs1
172.27.21.21    bof-nfs2
172.27.19.74    gallur
172.27.21.89    fof-ftp1
172.27.18.132   mef-portal1
172.27.18.133   mef-portal2
172.27.18.134   mef-portal3
172.27.18.137   mel-oas3
172.27.18.140   mel-oas4
172.27.18.138   mel-oas5
172.27.18.141   mel-oas6
172.27.18.154   mel-oas7
172.27.18.157   mel-oas8
172.27.18.155   mel-oas9
172.27.18.158   mel-oas10
172.27.14.44       fof-portal1
172.27.14.45       fof-portal2
172.27.15.43       mof-portal1
172.27.15.44       mof-portal2
172.27.14.247      mof-portal3
172.27.14.248      mof-portal4
10.20.9.21         midpro1  
10.20.9.26         midpro2  
10.20.9.27         sigena   
172.27.15.105      midpro5 
172.27.15.47   mol-oas3
172.27.15.49   mol-oas5
172.27.15.55   mol-oas7
172.27.15.57   mol-oas9
172.27.15.48   mol-oas4
172.27.15.54   mol-oas6
172.27.15.56   mol-oas8
172.27.15.58   mol-oas10
172.27.17.40    fof-correo1
172.27.17.41    fof-correo2
172.27.17.100   mof-correo1
172.27.17.101   mof-correo2
172.27.17.170   bof-correo1
172.27.17.171   bof-correo2
172.27.20.10    bof-sapci1-ges
172.27.20.11    bof-sapci2-ges
172.27.20.19    bof-sapci3-ges
172.27.20.20    bof-sapci4-ges
172.27.20.21    bof-sapci5-ges
172.27.20.12    bof-sapdb1-ges
172.27.20.13    bof-sapdb2-ges
172.27.16.37    bof-portal1
172.27.16.38    bof-portal2
172.27.15.17    mof-idm1-ges
172.27.15.19    mof-idm2-ges
172.27.18.84    miv-multicanalidad-01
172.27.18.81    fiv-multicanalidad-01
