Servidor Pagesize Memoria(MB)
bof-backup1 8192 65312
bof-correo1 8192 32768
bof-correo2 8192 32768
bof-gestion1 8192 32544
bof-nfs1 8192 65312
bof-nfs2 8192 65312
bof-portal1 8192 65536
bof-portal2 8192 65536
bof-sapci1-ges 8192 65312
bof-sapci2-ges 8192 65312
bof-sapci3-ges 8192 65536
bof-sapci4-ges 8192 32768
bof-sapci5-ges 8192 16384
bof-sapdb1-ges 8192 131072
bof-sapdb2-ges 8192 131072
fof-ftp1 4096 32768
fof-portal1 4096 24576
fof-portal2 4096 32768
gallur 8192 16384
luco 8192 65536
mef-portal1 8192 1024
mef-portal2 8192 1024
mef-portal3 4096 24576
mel-oas10 8192 4096
mel-oas3 8192 10096
mel-oas4 8192 10096
mel-oas5 8192 4096
mel-oas6 8192 4096
mel-oas7 8192 4096
mel-oas8 8192 4096
mel-oas9 8192 4096
mel-portal1 8192 9216
mel-portal2 8192 9216
midpro1 8192 11264
midpro2 8192 11264
midpro5 8192 16384
mof-correo1 8192 32640
mof-correo2 8192 32640
mof-idm1-ges 4096 32768
mof-idm2-ges 4096 32768
mof-portal1 8192 1024
mof-portal2 8192 1024
mof-portal3 4096 32768
mof-portal4 4096 16384
mol-oas10 8192 4096
mol-oas3 8192 10096
mol-oas4 8192 10096
mol-oas5 8192 4096
mol-oas6 8192 4096
mol-oas7 8192 4096
mol-oas8 8192 4096
mol-oas9 8192 4096
mol-portal1 8192 9216
mol-portal2 8192 9216
moncayo 8192 65536
pool-l1 8192 4096
pool-l2 8192 4096
pool-l3 8192 4096
pool-l4 8192 4096
pool-z1 8192 65536
pool-z2 8192 65536
pool-z3 8192 65536
pool-z4 8192 32640
pool-z5 8192 32640
sigena 8192 11264
